chamber,State ,Name ,Twitter Handle 
Senate,AK ,Lisa Murkowski ,@lisamurkowski 
Senate,AK ,Dan Sullivan ,@SenDanSullivan 
Senate,AL ,Doug Jones ,@SenDougJones 
Senate,AL ,Richard C. Shelby ,@SenShelby 
Senate,AR ,John Boozman ,@JohnBoozman 
Senate,AR ,Tom Cotton ,@SenTomCotton 
Senate,AZ ,Martha McSally ,@SenMcSallyAZ 
Senate,AZ ,Kyrsten Sinema ,@SenatorSinema 
Senate,CA ,Dianne Feinstein ,@SenFeinstein 
Senate,CA ,Kamala D. Harris ,@SenKamalaHarris 
Senate,CO ,Michael F. Bennet ,@SenatorBennet 
Senate,CO ,Cory Gardner ,@SenCoryGardner 
Senate,CT ,Richard Blumenthal ,@SenBlumenthal 
Senate,CT ,Christopher Murphy ,@SenMurphyOffice 
Senate,DE ,  Thomas R. Carper           , @SenatorCarper 
Senate,DE ,Christopher A. Coons ,@ChrisCoons 
Senate,FL ,Marco Rubio ,@SenRubioPress 
Senate,FL ,Rick Scott ,@SenRickScott 
Senate,GA ,Johnny Isakson ,@SenatorIsakson 
Senate,GA ,David Perdue ,@sendavidperdue 
Senate,HI ,Mazie K. Hirono ,@maziehirono 
Senate,HI ,Brian Schatz ,@SenBrianSchatz 
Senate,IA ,Joni Ernst ,@SenJoniErnst 
Senate,IA ,Chuck Grassley ,@ChuckGrassley 
Senate,ID ,Mike Crapo ,@MikeCrapo 
Senate,ID ,James E. Risch ,@SenatorRisch 
Senate,IL ,Tammy Duckworth ,@SenDuckworth 
Senate,IL ,Richard J. Durbin ,@SenatorDurbin 
Senate,IN ,Mike Braun ,@SenatorBraun 
Senate,IN ,Todd Young ,@SenToddYoung 
Senate,KS ,Jerry Moran ,@JerryMoran 
Senate,KS ,Pat Roberts ,@SenPatRoberts 
Senate,KY ,Mitch McConnell ,@SenateMajLdr 
Senate,KY ,Rand Paul ,@RandPaul 
Senate,LA ,Bill Cassidy ,@SenBillCassidy 
Senate,LA ,John Kennedy ,@SenJohnKennedy 
Senate,MA ,Edward J. Markey ,@SenMarkey 
Senate,MA ,Elizabeth Warren ,@SenWarren 
Senate,MD ,Benjamin L. Cardin ,@SenatorCardin 
Senate,MD ,Chris Van Hollen ,@ChrisVanHollen 
Senate,ME ,Susan M. Collins ,@SenatorCollins 
Senate,ME ,"Angus S. King, Jr. ",@SenAngusKing 
Senate,MI ,Gary C. Peters ,@SenGaryPeters 
Senate,MI ,Debbie Stabenow ,@SenStabenow 
Senate,MN ,Amy Klobuchar ,@SenAmyKlobuchar 
Senate,MN ,Tina Smith ,@SenTinaSmith 
Senate,MO ,Roy Blunt ,@RoyBlunt 
Senate,MO ,Josh Hawley ,@SenHawleyPress 
Senate,MS ,Cindy Hyde-Smith ,@SenHydeSmith 
Senate,MS ,Roger F. Wicker ,@SenatorWicker 
Senate,MT ,Steve Daines ,@SteveDaines 
Senate,MT ,Jon Tester ,@SenatorTester 
Senate,NC ,Richard Burr ,@SenatorBurr 
Senate,NC ,Thom Tillis ,@SenThomTillis 
Senate,ND ,Kevin Cramer ,@SenKevinCramer 
Senate,ND ,John Hoeven ,@SenJohnHoeven 
Senate,NE ,Deb Fischer ,@SenatorFischer 
Senate,NE ,Ben Sasse ,@SenSasse 
Senate,NH ,Margaret Wood Hassan ,@SenatorHassan 
Senate,NH ,Jeanne Shaheen ,@SenatorShaheen 
Senate,NJ ,Cory A. Booker ,@SenBooker 
Senate,NJ ,Robert Menendez ,@SenatorMenendez 
Senate,NM ,Martin Heinrich ,@MartinHeinrich 
Senate,NM ,Tom Udall ,@SenatorTomUdall 
Senate,NV ,Catherine Cortez Masto ,@SenCortezMasto 
Senate,NV ,Jacky Rosen ,@SenJackyRosen 
Senate,NY ,Kirsten E. Gillibrand ,@gillibrandny 
Senate,NY ,Charles E. Schumer ,@SenSchumer 
Senate,OH ,Sherrod Brown ,@SenSherrodBrown 
Senate,OH ,Rob Portman ,@senrobportman 
Senate,OK ,James M. Inhofe ,@JimInhofe 
Senate,OK ,James Lankford ,@SenatorLankford 
Senate,OR ,Jeff Merkley ,@SenJeffMerkley 
Senate,OR ,Ron Wyden ,@RonWyden 
Senate,PA ,"Robert P. Casey, Jr. ",@SenBobCasey 
Senate,PA ,Patrick J. Toomey ,@SenToomey 
Senate,RI ,Jack Reed ,@SenJackReed 
Senate,RI ,Sheldon Whitehouse ,@SenWhitehouse 
Senate,SC ,Lindsey Graham ,@LindseyGrahamSC 
Senate,SC ,Tim Scott ,@SenatorTimScott 
Senate,SD ,Mike Rounds ,@SenatorRounds 
Senate,SD ,John Thune ,@SenJohnThune 
Senate,TN ,Lamar Alexander ,@SenAlexander 
Senate,TN ,Marsha Blackburn ,@MarshaBlackburn 
Senate,TX ,John Cornyn ,@JohnCornyn 
Senate,TX ,Ted Cruz ,@SenTedCruz 
Senate,UT ,Mike Lee ,@SenMikeLee 
Senate,UT ,Mitt Romney ,@SenatorRomney 
Senate,VA ,Time Kaine ,N/A 
Senate,VA ,Mark R. Warner ,@MarkWarner 
Senate,VT ,Patrick J. Leahy ,@SenatorLeahy 
Senate,VT ,Bernard Sanders ,@SenSanders 
Senate,WA ,Maria Cantwell ,@SenatorCantwell 
Senate,WA ,Patty Murray ,@PattyMurray 
Senate,WI ,Tammy Baldwin ,@SenatorBaldwin 
Senate,WI ,Ron Johnson ,@SenRonJohnson 
Senate,WV ,Shelley Moore Capito ,@SenCapito 
Senate,WV ,"Joe Manchin, III ",@Sen_JoeManchin 
Senate,WY ,John Barrasso ,@SenJohnBarrasso 
Senate,WY ,Michael B. Enzi ,@SenatorEnzi 
House,AK - At Large ,Don Young ,@repdonyoung 
House,AL-01 ,Bradley Byrne ,@RepByrne 
House,AL-02 ,Martha Roby ,@RepMarthaRoby 
House,AL-03 ,Mike Rogers ,@RepMikeRogersAL 
House,AL-04 ,Robert B. Aderholt ,@Robert_Aderholt 
House,AL-05 ,Mo Brooks ,@RepMoBrooks 
House,AL-06 ,Gary J. Palmer ,@USRepGaryPalmer 
House,AL-07 ,Terri A. Sewell ,@RepTerriSewell 
House,AR-01 ,"Eric A. ""Rick"" Crawford ",@RepRickCrawford 
House,AR-02 ,J. French Hill ,@RepFrenchHill 
House,AR-03 ,Steve Womack ,@rep_stevewomack 
House,AR-04 ,Bruce Westerman ,@RepWesterman 
House,AZ-01 ,Tom O'Halleran ,@RepOHalleran 
House,AZ-02 ,Ann Kirkpatrick ,@RepKirkpatrick 
House,AZ-03 ,Raúl M. Grijalva ,@RepRaulGrijalva 
House,AZ-04 ,Paul A. Gosar ,@RepGosar 
House,AZ-05 ,Andy Biggs ,@RepAndyBiggsAZ 
House,AZ-06 ,David Schweikert ,@RepDavid 
House,AZ-07 ,Ruben Gallego ,@RepRubenGallego 
House,AZ-08 ,Debbie Lesko ,@RepDLesko 
House,AZ-09 ,Greg Stanton ,@RepGregStanton 
House,CA-01 ,Doug LaMalfa ,@RepLaMalfa 
House,CA-02 ,Jared Huffman ,@RepHuffman 
House,CA-03 ,John Garamendi ,@RepGaramendi 
House,CA-04 ,Tom McClintock ,@RepMcClintock 
House,CA-05 ,Mike Thompson ,@RepThompson 
House,CA-06 ,Doris O. Matsui ,@DorisMatsui 
House,CA-07 ,Ami Bera ,@RepBera 
House,CA-08 ,Paul Cook ,@RepPaulCook 
House,CA-09 ,Jerry McNerney ,@RepMcNerney 
House,CA-10 ,Josh Harder ,@RepJoshHarder 
House,CA-11 ,Mark DeSaulnier ,@RepDeSaulnier 
House,CA-12 ,Nancy Pelosi ,@SpeakerPelosi 
House,CA-13 ,Barbara Lee ,@RepBarbaraLee 
House,CA-14 ,Jackie Speier ,@RepSpeier 
House,CA-15 ,Eric Swalwell ,@RepSwalwell 
House,CA-16 ,Jim Costa ,@RepJimCosta 
House,CA-17 ,Ro Khanna ,@RepRoKhanna 
House,CA-18 ,Anna G. Eshoo ,@RepAnnaEshoo 
House,CA-19 ,Zoe Lofgren ,@RepZoeLofgren 
House,CA-20 ,Jimmy Panetta ,@RepJimmyPanetta 
House,CA-21 ,TJ Cox ,@RepTjCox 
House,CA-22 ,Devin Nunes ,@RepDevinNunes 
House,CA-23 ,Kevin McCarthy ,@GOPLeader 
House,CA-24 ,Salud O. Carbajal ,@RepCarbajal 
House,CA-25 ,Katie Hill ,@RepKatieHill 
House,CA-26 ,Julia Brownley ,@RepBrownley 
House,CA-27 ,Judy Chu ,@RepJudyChu 
House,CA-28 ,Adam B. Schiff ,@RepAdamSchiff 
House,CA-29 ,Tony Cárdenas ,@RepCardenas 
House,CA-30 ,Brad Sherman ,@BradSherman 
House,CA-31 ,Pete Aguilar ,@RepPeteAguilar 
House,CA-32 ,Grace F. Napolitano ,@gracenapolitano 
House,CA-33 ,Ted Lieu ,@RepTedLieu 
House,CA-34 ,Jimmy Gomez ,@RepJimmyGomez 
House,CA-35 ,Norma J. Torres ,@NormaJTorres 
House,CA-36 ,Raul Ruiz ,@CongressmanRuiz 
House,CA-37 ,Karen Bass ,@RepKarenBass 
House,CA-38 ,Linda T. Sánchez ,@RepLindaSanchez 
House,CA-39 ,Gilbert Ray Jr. Cisneros ,@RepGilCisneros 
House,CA-40 ,Lucille Roybal-Allard ,@RepRoybalAllard 
House,CA-41 ,Mark Takano ,@RepMarkTakano 
House,CA-42 ,Ken Calvert ,@KenCalvert 
House,CA-43 ,Maxine Waters ,@RepMaxineWaters 
House,CA-44 ,Nanette Diaz Barragán   ,@RepBarragan 
